name,short_description,type,power,accuracy
Will O Wisp,Inflicts a burn on the target,Fire,,85
Will O Wisp,Sets the opponent on fire leaving them burned,Fire,,85
Will O Wisp,Burns the target if it connects,Fire,,85
Memento,The user faints but lowers the target's Attack and Special Attack by two stages each,Dark,,100
Memento,Sacrifices the user to sharply drop the opponent's Attack and Special Attack,Dark,,100
Memento,User knocks itself out to cut the target's Attack and Special Attack by two levels,Dark,,100
Facade,Power doubles if the user is burned paralyzed or poisoned,Normal,70,100
Facade,Deals twice the damage when the user has a status condition like burn paralysis or poison,Normal,70,100
Facade,Gets twice as strong if the user is affected by burn paralysis or poison,Normal,70,100
Focus Punch,Extremely powerful but gets canceled if the user takes damage before it goes off,Fighting,150,100
Focus Punch,Charges up a massive hit but fails if the user is hit first,Fighting,150,100
Focus Punch,Deals huge damage but is interrupted if the user takes any damage beforehand,Fighting,150,100
Smelling Salts,Deals double damage to paralyzed targets and cures their paralysis,Normal,70,100
Smelling Salts,Hits twice as hard against paralyzed opponents and removes the paralysis,Normal,70,100
Smelling Salts,Does double damage if the target is paralyzed and heals that paralysis,Normal,70,100
Follow Me,Draws all single target moves toward the user for that turn,Normal,,
Follow Me,Forces the opponent's single target attacks to hit the user instead this turn,Normal,,
Follow Me,Redirects all incoming single target effects to the user for one turn,Normal,,
Nature Power,Uses a different move depending on what terrain the battle is on,Normal,,
Nature Power,The move it uses changes based on the current terrain,Normal,,
Nature Power,Transforms into a terrain dependent move when used,Normal,,
Charge,Boosts the user's Special Defense and doubles the power of their next electric move,Electric,,
Charge,Raises Special Defense by one stage and makes the next electric attack twice as strong,Electric,,
Charge,Powers up the next electric move and increases the user's Special Defense,Electric,,
Taunt,Forces the target to only use attacking moves for the next few turns,Dark,,100
Taunt,Prevents the opponent from using status moves for several turns,Dark,,100
Taunt,Makes the target unable to use non damaging moves for a few turns,Dark,,100
Helping Hand,Boosts an ally's next move by 50 percent,Normal,,
Helping Hand,Increases a teammate's next attack by half,Normal,,
Helping Hand,Powers up an ally's next move by one and a half times,Normal,,
Trick,Swaps held items between the user and the target,Psychic,,100
Trick,Exchanges the user's item with the opponent's,Psychic,,100
Trick,Forces a held item trade between the user and the target,Psychic,,100
Role Play,Copies and takes on the target's ability,Psychic,,
Role Play,Replaces the user's ability with the opponent's,Psychic,,
Role Play,Adopts whatever ability the target has,Psychic,,
Wish,The user restores half its max HP at the end of the following turn,Normal,,
Wish,Heals the user for 50 percent of their max health one turn later,Normal,,
Wish,Queues up a heal for the user that activates at the end of the next turn,Normal,,
Assist,Randomly picks and uses one of the other party pokemon's moves,Normal,,
Assist,Uses a random move from one of the trainer's other pokemon,Normal,,
Assist,Selects and executes a random move from a teammate's moveset,Normal,,
Ingrain,Roots the user in place preventing them from leaving but restores a small amount of HP each turn,Grass,,
Ingrain,Traps the user but heals them for a sixteenth of their max HP every turn,Grass,,
Ingrain,Prevents switching out but recovers a bit of the user's HP each turn,Grass,,
Superpower,Hits hard but lowers the user's Attack and Defense by one stage each after use,Fighting,120,100
Superpower,Deals massive damage but drops the user's Attack and Defense afterward,Fighting,120,100
Superpower,Very powerful hit that costs the user one stage of Attack and Defense,Fighting,120,100
Magic Coat,Reflects the first status move used on the user back at the attacker,Psychic,,
Magic Coat,Bounces back the first effect move aimed at the user this turn,Psychic,,
Magic Coat,Sends the first status move used against the user back at the opponent,Psychic,,
Recycle,Recovers and reuses the item the user last consumed,Normal,,
Recycle,Gets back the held item the user used up most recently,Normal,,
Recycle,Restores the last item the user spent,Normal,,
Revenge,Deals double damage if the user was hit before attacking this turn,Fighting,60,100
Revenge,Power doubles when the user takes damage before this move goes off,Fighting,60,100
Revenge,Hits twice as hard if the user received damage earlier in the same turn,Fighting,60,100
Brick Break,Deals damage and destroys Reflect and Light Screen,Fighting,75,100
Brick Break,Breaks through Reflect and Light Screen while dealing damage,Fighting,75,100
Brick Break,Removes Reflect and Light Screen from the field and inflicts damage,Fighting,75,100
Yawn,Makes the target fall asleep at the end of the next turn,Normal,,
Yawn,Puts the opponent to sleep one turn after it is used,Normal,,
Yawn,Causes the target to doze off and fall asleep on the following turn,Normal,,
Knock Off,Knocks the held item out of the target's hands,Dark,65,100
Knock Off,Removes whatever item the opponent is holding,Dark,65,100
Knock Off,Strips the target of their held item,Dark,65,100
Endeavor,Reduces the target's HP down to match the user's current HP,Normal,,100
Endeavor,Brings the opponent's health down to equal the user's remaining HP,Normal,,100
Endeavor,Lowers the target's HP to whatever the user's HP currently is,Normal,,100
Eruption,Deals more damage the more HP the user has left up to a maximum of 150 power,Fire,150,100
Eruption,Power scales with the user's remaining health maxing out at 150,Fire,150,100
Eruption,Gets weaker as the user loses HP with a ceiling of 150 power at full health,Fire,150,100
Skill Swap,Exchanges abilities between the user and the target,Psychic,,
Skill Swap,Swaps the user's ability with the opponent's,Psychic,,
Skill Swap,Trades abilities with the target,Psychic,,
Imprison,Prevents the target from using any move that the user also has,Psychic,,
Imprison,Locks the opponent out of any moves they share with the user,Psychic,,
Imprison,Stops the target from using moves that are also in the user's moveset,Psychic,,
Refresh,Cures the user of burn paralysis or poison,Normal,,
Refresh,Heals the user from a burn paralysis or poisoned status condition,Normal,,
Refresh,Removes burn paralysis or poison from the user,Normal,,
Grudge,If the user faints this turn the move that knocked them out loses all its PP,Ghost,,
Grudge,The move that causes the user to faint this turn gets its PP reduced to zero,Ghost,,
Grudge,Drains all PP from the move that knocks out the user on the same turn,Ghost,,
Snatch,Steals the effects of a self targeting move the opponent was about to use,Dark,,
Snatch,Intercepts and takes the benefit of any move the target uses on themselves,Dark,,
Snatch,Grabs the effect of a move the opponent directed at themselves,Dark,,
Secret Power,Has a chance to inflict a status effect that varies based on the terrain,Normal,70,100
Secret Power,Might cause a terrain dependent status condition,Normal,70,100
Secret Power,Can inflict different status effects depending on where the battle takes place,Normal,70,100
Dive,The user submerges underwater to dodge attacks then surfaces to strike next turn,Water,80,100
Dive,Goes underwater for a turn to avoid damage then attacks on the following turn,Water,80,100
Dive,User hides beneath the water dodging everything and hits on the next turn,Water,80,100
Camouflage,The user's type changes to match whatever terrain the battle is taking place on,Normal,,
Camouflage,Shifts the user's type to blend in with the current battlefield terrain,Normal,,
Camouflage,Adapts the user's type to match the environment,Normal,,
Tail Glow,Massively raises the user's Special Attack by three stages,Bug,,
Tail Glow,Sharply boosts the user's Special Attack by three levels,Bug,,
Tail Glow,Increases the user's Special Attack by three stages at once,Bug,,
Mist Ball,Has a chance to lower the target's Special Attack by one stage,Psychic,70,100
Mist Ball,Might reduce the opponent's Special Attack by one level,Psychic,70,100
Mist Ball,Can drop the target's Special Attack stat by one stage,Psychic,70,100
Blaze Kick,Has a higher crit rate than normal and can burn the target,Fire,85,90
Blaze Kick,Increased chance to land a critical hit and might leave the opponent burned,Fire,85,90
Blaze Kick,Crits more often than usual and has a chance to inflict a burn,Fire,85,90
Mud Sport,Reduces all electric type damage by half,Ground,,
Mud Sport,Halves the power of electric moves for the duration,Ground,,
Mud Sport,Cuts electric type damage in half while active,Ground,,
Poison Fang,Has a chance to badly poison the target,Poison,50,100
Poison Fang,Might inflict bad poison on whoever it hits,Poison,50,100
Poison Fang,Can leave the target badly poisoned,Poison,50,100
Weather Ball,Doubles in power and changes type to match the current weather,Normal,50,100
Weather Ball,Gets twice as strong and takes on the weather's type when conditions are active,Normal,50,100
Weather Ball,Power and type shift to match whatever weather is currently in effect,Normal,50,100
Fake Tears,Lowers the target's Special Defense by two stages,Dark,,100
Fake Tears,Sharply drops the opponent's Special Defense stat,Dark,,100
Fake Tears,Reduces the target's Special Defense by two levels,Dark,,100
Overheat,Hits very hard but lowers the user's Special Attack by two stages afterward,Fire,130,90
Overheat,Deals massive damage but sharply drops the user's Special Attack after use,Fire,130,90
Overheat,Extremely powerful but costs the user two stages of Special Attack,Fire,130,90
Tickle,Lowers the target's Attack and Defense by one stage each,Normal,,100
Tickle,Drops the opponent's Attack and Defense by one level each,Normal,,100
Tickle,Reduces both the target's Attack and Defense stats by one stage,Normal,,100
Cosmic Power,Raises the user's Defense and Special Defense by one stage each,Psychic,,
Cosmic Power,Boosts both the user's Defense and Special Defense by one level,Psychic,,
Cosmic Power,Increases the user's Defense and Special Defense by one stage simultaneously,Psychic,,
Sky Uppercut,Deals normal damage and can also hit pokemon that are in the air using Bounce or Fly,Fighting,85,90
Sky Uppercut,A standard attack that reaches airborne targets using Fly or Bounce,Fighting,85,90
Sky Uppercut,Can hit pokemon mid air during Fly or Bounce while dealing regular damage,Fighting,85,90
Bulk Up,Raises the user's Attack and Defense by one stage each,Fighting,,
Bulk Up,Boosts both the user's Attack and Defense by one level,Fighting,,
Bulk Up,Increases the user's Attack and Defense stats by one stage simultaneously,Fighting,,
Bounce,User leaps high into the air dodging all attacks then crashes down to hit next turn,Flying,85,85
Bounce,Jumps up into the air to avoid damage for a turn then strikes on the following turn,Flying,85,85
Bounce,User bounces into the air becoming untouchable for a turn then lands to attack,Flying,85,85
Poison Tail,Has a higher crit rate and a chance to poison the target,Poison,50,100
Poison Tail,Crits more often than usual and might leave the opponent poisoned,Poison,50,100
Poison Tail,Increased critical hit chance and can inflict poison on the target,Poison,50,100
Volt Tackle,Deals heavy damage but the user takes a third of the damage as recoil and might paralyze the target,Electric,120,100
Volt Tackle,Very powerful but costs the user a third of the damage dealt in recoil with a chance to paralyze,Electric,120,100
Volt Tackle,Hits hard with recoil equal to a third of the damage and can leave the target paralyzed,Electric,120,100
Water Sport,Cuts all fire type damage in half while active,Water,,
Water Sport,Reduces the power of fire moves by 50 percent for the duration,Water,,
Water Sport,Halves fire type damage while this move's effect is in play,Water,,
Calm Mind,Raises the user's Special Attack and Special Defense by one stage each,Psychic,,
Calm Mind,Boosts both the user's Special Attack and Special Defense by one level,Psychic,,
Calm Mind,Increases the user's Special Attack and Special Defense by one stage simultaneously,Psychic,,
Dragon Dance,Raises the user's Attack and Speed by one stage each,Dragon,,
Dragon Dance,Boosts both the user's Attack and Speed by one level,Dragon,,
Dragon Dance,Increases the user's Attack and Speed stats by one stage simultaneously,Dragon,,
Gravity,Grounds all flying and levitating pokemon and disables related moves and immunities for five turns,Psychic,,
Gravity,Prevents flying and levitation for five turns affecting related moves and type immunities,Psychic,,
Gravity,Pulls everything to the ground for five turns removing flying immunities and disabling levitation moves,Psychic,,
Miracle Eye,Strips the target's evasion boosts and lets psychic moves hit dark types,Psychic,,
Miracle Eye,Removes the opponent's evasiveness and makes dark pokemon vulnerable to psychic attacks,Psychic,,
Miracle Eye,Negates evasion and allows psychic type moves to hit dark type pokemon,Psychic,,
Wake Up Slap,Deals double damage to sleeping targets and wakes them up,Fighting,70,100
Wake Up Slap,Hits twice as hard against a sleeping opponent and cures their sleep,Fighting,70,100
Wake Up Slap,Does double damage if the target is asleep and removes the sleep status,Fighting,70,100
Hammer Arm,Hits hard but lowers the user's Speed by one stage,Fighting,100,90
Hammer Arm,Deals heavy damage at the cost of one stage of the user's Speed,Fighting,100,90
Hammer Arm,Powerful attack that drops the user's Speed by one level after use,Fighting,100,90
Gyro Ball,Gets more powerful the slower the user is compared to the target up to 150 power,Steel,,100
Gyro Ball,Power increases based on how much slower the user is than the opponent maxing at 150,Steel,,100
Gyro Ball,Deals more damage the lower the user's Speed is relative to the target,Steel,,100
Healing Wish,The user faints but the next pokemon in gets full HP and any status conditions removed,Psychic,,
Healing Wish,Sacrifices the user so the replacement enters with full health and no status effects,Psychic,,
Healing Wish,User knocks itself out to fully heal the next pokemon that comes in,Psychic,,
Brine,Deals double damage to targets that have less than half their HP remaining,Water,65,100
Brine,Twice as powerful against opponents that are below half health,Water,65,100
Brine,Power doubles when used on a target with less than 50 percent HP left,Water,65,100
Natural Gift,Type and power depend on whatever berry the user is holding,Normal,,100
Natural Gift,Uses the held berry to determine its type and strength,Normal,,100
Natural Gift,Changes type and power based on the berry the user has equipped,Normal,,100
Feint,Bypasses Protect and Detect to hit the target,Normal,30,100
Feint,Can strike through Protect and Detect,Normal,30,100
Feint,Hits even if the target is using Protect or Detect,Normal,30,100
Pluck,If the target is holding a berry deals double damage and eats the berry,Flying,60,100
Pluck,Steals and consumes the target's berry while dealing twice the normal damage,Flying,60,100
Pluck,Hits twice as hard and takes the opponent's berry if they have one,Flying,60,100
Tailwind,Doubles the Speed of all friendly pokemon for three turns,Flying,,
Tailwind,Creates a tailwind that boosts the whole team's Speed by two times for three turns,Flying,,
Tailwind,Gives all allies doubled Speed for three turns,Flying,,
Acupressure,Randomly raises one of a friendly pokemon's stats by two stages,Normal,,
Acupressure,Picks a random stat from a teammate and sharply boosts it,Normal,,
Acupressure,Boosts one of an ally's stats by two stages chosen at random,Normal,,
Metal Burst,Hits back the last pokemon that attacked the user this turn for one and a half times the damage received,Steel,,100
Metal Burst,Retaliates against the most recent attacker dealing one and a half times the damage taken,Steel,,100
Metal Burst,Returns damage to whoever hit the user last this turn amplified by 1.5 times,Steel,,100
U Turn,Deals damage then forces the user to immediately switch out,Bug,70,100
U Turn,Attacks and then the user switches out right after,Bug,70,100
U Turn,Hits the target then the user retreats and swaps to another pokemon,Bug,70,100
Close Combat,Hits very hard but lowers the user's Defense and Special Defense by one stage each afterward,Fighting,120,100
Close Combat,Deals massive damage but drops the user's Defense and Special Defense after use,Fighting,120,100
Close Combat,Very powerful but costs the user one stage of Defense and Special Defense,Fighting,120,100
Payback,Power doubles if the opponent has already taken their turn this round,Dark,50,100
Payback,Deals twice the damage if the target moved before the user this turn,Dark,50,100
Payback,Gets twice as strong when used after the opponent has already acted,Dark,50,100
Assurance,Power doubles if the target has already taken damage this turn,Dark,60,100
Assurance,Deals twice the damage if the opponent was already hurt earlier this turn,Dark,60,100
Assurance,Gets twice as strong when the target has already received damage this round,Dark,60,100
Embargo,Stops the target from being able to use their held item,Dark,,100
Embargo,Prevents the opponent from using whatever they are holding,Dark,,100
Embargo,Disables the target's held item so they cannot use it,Dark,,100
Fling,Throws the user's held item at the target with power based on the item,Dark,,100
Fling,Hurls whatever the user is holding at the opponent with varying power,Dark,,100
Fling,Launches the user's item at the target and the damage depends on what it is,Dark,,100
Psycho Shift,Passes the user's status condition onto the target,Psychic,,100
Psycho Shift,Transfers whatever status ailment the user has to the opponent,Psychic,,100
Psycho Shift,Moves the user's burn paralysis or poison over to the target,Psychic,,100
Trump Card,Power increases the fewer PP this move has left up to 200,Normal,,
Trump Card,Gets stronger as its PP runs low maxing out at 200 power,Normal,,
Trump Card,Deals more damage the closer it is to running out of PP,Normal,,
Heal Block,Stops the target from recovering any HP for five turns,Psychic,,100
Heal Block,Prevents the opponent from healing themselves for five turns,Psychic,,100
Heal Block,Blocks all forms of HP restoration for the target for five turns,Psychic,,100
Wring Out,Deals more damage the more HP the target has left up to 121 power,Normal,,100
Wring Out,Power scales with the target's remaining health maxing out at 121,Normal,,100
Wring Out,Gets stronger the healthier the opponent is with a ceiling of 121 power,Normal,,100
Power Trick,Swaps the user's Attack and Defense stats,Psychic,,
Power Trick,Exchanges the user's Attack stat with their Defense,Psychic,,
Power Trick,Trades the user's Attack and Defense values with each other,Psychic,,
Gastro Acid,Suppresses the target's ability for the rest of the battle,Poison,,100
Gastro Acid,Nullifies whatever ability the opponent has until they switch out,Poison,,100
Gastro Acid,Disables the target's ability until they leave the battle,Poison,,100
Lucky Chant,Stops the opponent from landing critical hits for five turns,Normal,,
Lucky Chant,Prevents the target from scoring crits for five turns,Normal,,
Lucky Chant,Blocks critical hits from the target for five turns,Normal,,
Me First,Copies and uses the target's move before they can with 1.5 times the power,Normal,,
Me First,Steals and uses the opponent's move first with boosted power,Normal,,
Me First,Uses whatever move the target was about to use before they do with increased damage,Normal,,
Power Swap,Exchanges all Attack and Special Attack stat changes with the target,Psychic,,
Power Swap,Trades offensive stat boosts and drops with the opponent,Psychic,,
Power Swap,Swaps the user's Attack and Special Attack changes with the target's,Psychic,,
Guard Swap,Exchanges all Defense and Special Defense stat changes with the target,Psychic,,
Guard Swap,Trades defensive stat boosts and drops with the opponent,Psychic,,
Guard Swap,Swaps the user's Defense and Special Defense changes with the target's,Psychic,,
Punishment,Gets more powerful the more stat boosts the target has up to 200 power,Dark,,100
Punishment,Deals more damage the more the opponent has boosted their stats maxing at 200,Dark,,100
Punishment,Power scales with how many stat raises the target has up to a maximum of 200,Dark,,100
Last Resort,Can only be used after every other move in the user's moveset has been used at least once,Normal,140,100
Last Resort,Only becomes available after the user has used all their other moves,Normal,140,100
Last Resort,Unlocked only after the user has used each of their other moves at least once,Normal,140,100
Worry Seed,Replaces the target's ability with Insomnia,Grass,,100
Worry Seed,Forces the opponent's ability to become Insomnia,Grass,,100
Worry Seed,Changes whatever ability the target has to Insomnia,Grass,,100
Sucker Punch,Only works if the target is about to use an attacking move,Dark,70,100
Sucker Punch,Hits first but fails if the opponent is not using a damaging move,Dark,70,100
Sucker Punch,Can only land if the target is in the middle of using an offensive move,Dark,70,100
Toxic Spikes,Lays poisoned spikes that poison any opposing pokemon that switches in,Poison,,
Toxic Spikes,Sets up spikes that inflict poison on enemies when they enter the field,Poison,,
Toxic Spikes,Places toxic spikes on the opponent's side that poison incoming pokemon,Poison,,
Heart Swap,Trades all stat changes between the user and the target,Psychic,,
Heart Swap,Exchanges every stat boost and drop with the opponent,Psychic,,
Heart Swap,Swaps all of the user's stat changes with the target's,Psychic,,
Aqua Ring,Surrounds the user with water that restores a small amount of HP each turn,Water,,
Aqua Ring,Heals the user for a sixteenth of their max HP every turn,Water,,
Aqua Ring,Creates a watery veil that gradually restores the user's HP each turn,Water,,
Magnet Rise,Makes the user immune to ground type moves and effects for five turns,Electric,,
Magnet Rise,Levitates the user granting immunity to ground moves for five turns,Electric,,
Magnet Rise,User floats up becoming untouched by ground type moves for five turns,Electric,,
Flare Blitz,Hits very hard but the user takes a third of the damage as recoil and might burn the target,Fire,120,100
Flare Blitz,Powerful fire charge with recoil equal to a third of damage dealt and a chance to burn,Fire,120,100
Flare Blitz,Deals heavy damage with recoil costing a third of the damage and can inflict a burn,Fire,120,100
Nasty Plot,Sharply raises the user's Special Attack by two stages,Dark,,
Nasty Plot,Boosts the user's Special Attack by two levels,Dark,,
Nasty Plot,Increases the user's Special Attack stat by two stages,Dark,,
Thunder Fang,Can paralyze the target or make them flinch,Electric,65,95
Thunder Fang,Has a chance to cause paralysis and a separate chance to make the opponent flinch,Electric,65,95
Thunder Fang,Might paralyze the target or cause them to flinch,Electric,65,95
Ice Fang,Can freeze the target or make them flinch,Ice,65,95
Ice Fang,Has a chance to freeze the opponent and a separate chance to cause flinching,Ice,65,95
Ice Fang,Might leave the target frozen or make them flinch,Ice,65,95
Fire Fang,Can burn the target or make them flinch,Fire,65,95
Fire Fang,Has a chance to inflict a burn and a separate chance to cause flinching,Fire,65,95
Fire Fang,Might burn the target or cause them to flinch,Fire,65,95
Defog,Lowers the target's evasion and clears away field effects on the opponent's side,Flying,,
Defog,Drops the opponent's evasiveness and removes their side's entry hazards and screens,Flying,,
Defog,Reduces the target's evasion by one stage and wipes out the enemy field's conditions,Flying,,
Trick Room,Reverses turn order so slower pokemon move first for five turns,Psychic,,
Trick Room,Makes the slowest pokemon go first for five turns,Psychic,,
Trick Room,Flips the speed priority for five turns so the slower pokemon acts before faster ones,Psychic,,
Captivate,Lowers the target's Special Attack by two stages if they are the opposite gender,Normal,,100
Captivate,Sharply drops the opponent's Special Attack if they are a different gender from the user,Normal,,100
Captivate,Reduces the target's Special Attack by two levels but only works on opposite gender pokemon,Normal,,100
Stealth Rock,Sets up rocks on the opponent's side that deal damage to any pokemon that switches in,Rock,,
Stealth Rock,Places sharp rocks that hurt the enemy team whenever they bring in a new pokemon,Rock,,
Stealth Rock,Lays entry hazard rocks that chip away at opposing pokemon as they switch in,Rock,,
Chatter,Has a higher chance to confuse the target the louder the recorded sound is,Flying,65,100
Chatter,Confusion rate scales with the volume of the recorded audio,Flying,65,100
Chatter,More likely to confuse the opponent depending on how loud the recorded sound was,Flying,65,100
Judgment,Type matches the plate or drive the user is holding,Normal,100,100
Judgment,Changes type based on whatever plate or drive the user has equipped,Normal,100,100
Judgment,Adapts its type to match the held plate or drive,Normal,100,100
Charge Beam,Has a chance to raise the user's Special Attack by one stage,Electric,50,90
Charge Beam,Might boost the user's Special Attack by one level,Electric,50,90
Charge Beam,Can increase the user's Special Attack stat by one stage,Electric,50,90
Head Smash,Extremely powerful but the user takes half the damage inflicted as recoil,Rock,150,80
Head Smash,Hits very hard at the cost of recoil equal to half the damage dealt,Rock,150,80
Head Smash,Massive damage but the user loses 50 percent of what they inflicted as recoil,Rock,150,80
Lunar Dance,The user faints and the pokemon that replaces them is completely healed,Psychic,,
Lunar Dance,User sacrifices itself to fully restore the next pokemon's HP and status,Psychic,,
Lunar Dance,User faints so the replacement enters with full health and no conditions,Psychic,,
Seed Flare,Has a chance to lower the target's Special Defense by two stages,Grass,120,85
Seed Flare,Might sharply drop the opponent's Special Defense,Grass,120,85
Seed Flare,Can reduce the target's Special Defense by two levels,Grass,120,85
Shadow Force,User vanishes completely dodging all attacks then strikes next turn bypassing Protect and Detect,Ghost,120,100
Shadow Force,Disappears for a turn avoiding everything then hits through Protect and Detect,Ghost,120,100
Shadow Force,User becomes invisible dodging all moves and attacks the following turn even through Protect,Ghost,120,100
Hone Claws,Raises the user's Attack and accuracy by one stage each,Dark,,
Hone Claws,Boosts both the user's Attack and hit rate by one level,Dark,,
Hone Claws,Increases the user's Attack stat and accuracy by one stage,Dark,,
Wide Guard,Blocks all multi target moves from hitting friendly pokemon this turn,Rock,,
Wide Guard,Protects the whole team from spread moves for one turn,Rock,,
Wide Guard,Shields all allies from moves that hit multiple targets this turn,Rock,,
Guard Split,Averages the user's and target's Defense and Special Defense stats,Psychic,,
Guard Split,Combines the Defense and Special Defense of the user and opponent then splits them equally,Psychic,,
Guard Split,Sets both the user's and target's Defense and Special Defense to the average of their values,Psychic,,
Power Split,Averages the user's and target's Attack and Special Attack stats,Psychic,,
Power Split,Combines the Attack and Special Attack of the user and opponent then splits them equally,Psychic,,
Power Split,Sets both the user's and target's Attack and Special Attack to the average of their values,Psychic,,
Wonder Room,Swaps every pokemon's Defense and Special Defense stats for five turns,Psychic,,
Wonder Room,Exchanges Defense and Special Defense for all pokemon on the field for five turns,Psychic,,
Wonder Room,Flips Defense and Special Defense stats for everyone for five turns,Psychic,,
Psyshock,Deals special damage but calculated using the target's Defense instead of Special Defense,Psychic,80,100
Psyshock,A special move that uses the opponent's physical Defense stat to calculate damage,Psychic,80,100
Psyshock,Hits as a special attack but damage is based on the target's Defense stat,Psychic,80,100
Venoshock,Deals double damage if the target is already poisoned,Poison,65,100
Venoshock,Twice as powerful against poisoned opponents,Poison,65,100
Venoshock,Power doubles when used on a target that is already affected by poison,Poison,65,100
Autotomize,Raises the user's Speed by two stages and cuts their weight in half,Steel,,
Autotomize,Sharply boosts Speed by two levels while halving the user's weight,Steel,,
Autotomize,Increases the user's Speed by two stages and reduces their weight by 50 percent,Steel,,
Telekinesis,Makes the target unable to avoid any moves for three turns,Psychic,,
Telekinesis,All attacks have perfect accuracy against the target for three turns,Psychic,,
Telekinesis,Causes the target to be hit by any move regardless of accuracy for three turns,Psychic,,
Magic Room,Disables all held items for every pokemon on the field for five turns,Psychic,,
Magic Room,Prevents anyone from benefiting from their held item for five turns,Psychic,,
Magic Room,Negates the effect of every pokemon's held item for five turns,Psychic,,
Smack Down,Grounds the target removing any immunity to ground type moves,Rock,50,100
Smack Down,Brings the target down to the ground making them vulnerable to ground attacks,Rock,50,100
Smack Down,Removes the target's ground immunity by knocking them out of the air,Rock,50,100
Storm Throw,Always lands a critical hit,Fighting,60,100
Storm Throw,Guaranteed to score a crit every single time,Fighting,60,100
Storm Throw,Critically hits without fail,Fighting,60,100
Flame Burst,Deals damage and splashes onto pokemon standing next to the target,Fire,70,100
Flame Burst,Hits the target and deals splash damage to adjacent pokemon,Fire,70,100
Flame Burst,Damages the target and also hurts any pokemon standing beside them,Fire,70,100
Quiver Dance,Raises the user's Special Attack Special Defense and Speed by one stage each,Bug,,
Quiver Dance,Boosts Special Attack Special Defense and Speed all by one level,Bug,,
Quiver Dance,Increases the user's Special Attack Special Defense and Speed simultaneously by one stage,Bug,,
Heavy Slam,Deals more damage the heavier the user is compared to the target up to 120 power,Steel,,100
Heavy Slam,Power scales with how much heavier the user is than the opponent maxing at 120,Steel,,100
Heavy Slam,Gets stronger the greater the weight difference between user and target up to 120 power,Steel,,100
Synchronoise,Only hits pokemon that share a type with the user,Psychic,120,100
Synchronoise,Deals damage exclusively to targets that have the same type as the user,Psychic,120,100
Synchronoise,Strikes any pokemon on the field that shares one of the user's types,Psychic,120,100
Electro Ball,Gets more powerful the faster the user is compared to the target up to 150 power,Electric,,100
Electro Ball,Power increases based on how much faster the user is than the opponent maxing at 150,Electric,,100
Electro Ball,Deals more damage the greater the Speed difference between user and target,Electric,,100
Soak,Changes the target's type to water,Water,,100
Soak,Forces the opponent to become a pure water type,Water,,100
Soak,Converts whatever type the target is into water type,Water,,100
Flame Charge,Deals damage and raises the user's Speed by one stage,Fire,50,100
Flame Charge,Hits the target and boosts the user's Speed by one level,Fire,50,100
Flame Charge,Inflicts regular damage while increasing the user's Speed stat,Fire,50,100
Coil,Raises the user's Attack Defense and accuracy all by one stage,Poison,,
Coil,Boosts Attack Defense and accuracy simultaneously by one level,Poison,,
Coil,Increases the user's Attack Defense and hit rate each by one stage,Poison,,
Low Sweep,Lowers the target's Speed by one stage,Fighting,65,100
Low Sweep,Drops the opponent's Speed stat by one level,Fighting,65,100
Low Sweep,Reduces the target's Speed by one stage after dealing damage,Fighting,65,100
Foul Play,Uses the target's own Attack stat to calculate the damage it deals,Dark,95,100
Foul Play,Turns the opponent's strength against them by using their Attack for damage calculation,Dark,95,100
Foul Play,Damage is based on the target's own offensive stat rather than the user's,Dark,95,100
Simple Beam,Changes the target's ability to Simple,Normal,,100
Simple Beam,Replaces whatever ability the opponent has with Simple,Normal,,100
Simple Beam,Forces the target's ability to become Simple,Normal,,100
Entrainment,Gives the target the same ability as the user,Normal,,100
Entrainment,Replaces the opponent's ability with the user's own ability,Normal,,100
Entrainment,Copies the user's ability onto the target replacing theirs,Normal,,100
After You,Forces the target to take their turn immediately after the user,Normal,,
After You,Makes the opponent act next regardless of speed,Normal,,
After You,Causes the target to move right after the user this turn,Normal,,
Round,Power doubles if another pokemon uses this move in the same turn,Normal,60,100
Round,Gets twice as strong when used multiple times in the same turn,Normal,60,100
Round,Deals double damage if it is used more than once during the same turn,Normal,60,100
Echoed Voice,Gets stronger each consecutive turn any friendly pokemon uses it up to 200 power,Normal,40,100
Echoed Voice,Power increases by 100 percent each turn it is used in a row by any ally maxing at 200,Normal,40,100
Echoed Voice,Grows more powerful each turn it is consecutively used by the team up to 200 power,Normal,40,100
Chip Away,Ignores any of the target's stat boosts or drops when calculating damage,Normal,70,100
Chip Away,Deals damage while completely bypassing the opponent's stat changes,Normal,70,100
Chip Away,Stat modifications on the target have no effect on the damage this move deals,Normal,70,100
Clear Smog,Removes all stat changes from the target,Poison,50,
Clear Smog,Wipes out every stat boost and drop the opponent has accumulated,Poison,50,
Clear Smog,Resets all of the target's stat modifications to neutral,Poison,50,
Stored Power,Gets stronger the more stat boosts the user has accumulated,Psychic,20,100
Stored Power,Power scales with how many stat raises the user currently has,Psychic,20,100
Stored Power,Deals more damage the more the user has boosted their own stats,Psychic,20,100
Quick Guard,Blocks all priority moves from hitting any friendly pokemon this turn,Fighting,,
Quick Guard,Protects the whole team from moves with increased priority for one turn,Fighting,,
Quick Guard,Shields allies from any move with higher than normal priority this turn,Fighting,,
Ally Switch,The user teleports to swap positions with the teammate on the opposite side,Psychic,,
Ally Switch,Switches places with the friendly pokemon directly opposite on the field,Psychic,,
